Gender,Age,Height,Weight,family_history_with_overweight,FAVC,FCVC,NCP,CAEC,SMOKE,CH2O,SCC,FAF,TUE,CALC,MTRANS_Bike,MTRANS_Motorbike,MTRANS_Public_Transportation,MTRANS_Walking,NObeyesdad_Normal_Weight,NObeyesdad_Obesity_Type_I,NObeyesdad_Obesity_Type_II,NObeyesdad_Obesity_Type_III,NObeyesdad_Overweight_Level_I,NObeyesdad_Overweight_Level_II,Obesity_Level
0,0.34733367007778826,0.42500000000000027,0.32399224803187676,yes,no,0.5,0.6089680092188896,Sometimes,0,0.5,no,0.0,0.5,no,0,0,1,0,1,0,0,0,0,0,NObeyesdad_Normal_Weight
0,0.34733367007778826,0.17499999999999982,0.22031472866167623,yes,no,1.0,0.6089680092188896,Sometimes,1,1.0,yes,1.0,0.0,Sometimes,0,0,1,0,1,0,0,0,0,0,NObeyesdad_Normal_Weight
1,0.570802018853287,0.8749999999999996,0.49246821700845267,yes,no,0.5,0.6089680092188896,Sometimes,0,0.5,no,0.6666666666666666,0.5,Frequently,0,0,1,0,1,0,0,0,0,0,NObeyesdad_Normal_Weight
1,1.0,0.8749999999999996,0.6220651162212034,no,no,1.0,0.6089680092188896,Sometimes,0,0.5,no,0.6666666666666666,0.0,Frequently,0,0,0,1,0,0,0,0,1,0,NObeyesdad_Overweight_Level_I
1,0.4590678444655376,0.8249999999999997,0.6583522480007735,no,no,0.5,0.0,Sometimes,0,0.5,no,0.0,0.0,Sometimes,0,0,1,0,0,0,0,0,0,1,NObeyesdad_Overweight_Level_II
1,1.0,0.42500000000000027,0.18143565889785096,no,yes,0.5,0.6089680092188896,Sometimes,0,0.5,no,0.0,0.0,Sometimes,0,0,0,0,1,0,0,0,0,0,NObeyesdad_Normal_Weight
0,0.570802018853287,0.125,0.20735503874040118,yes,yes,1.0,0.6089680092188896,Sometimes,0,0.5,no,0.3333333333333333,0.0,Sometimes,0,1,0,0,1,0,0,0,0,0,NObeyesdad_Normal_Weight
1,0.4590678444655376,0.4749999999999992,0.18143565889785096,no,no,0.5,0.6089680092188896,Sometimes,0,0.5,no,1.0,0.0,Sometimes,0,0,1,0,1,0,0,0,0,0,NObeyesdad_Normal_Weight
1,0.6825361932410368,0.8249999999999997,0.32399224803187676,yes,yes,1.0,0.6089680092188896,Sometimes,0,0.5,no,0.3333333333333333,0.5,Frequently,0,0,1,0,1,0,0,0,0,0,NObeyesdad_Normal_Weight
1,0.4590678444655376,0.6749999999999994,0.3758310077169771,yes,yes,0.5,0.6089680092188896,Sometimes,0,0.5,no,0.3333333333333333,0.5,no,0,0,1,0,1,0,0,0,0,0,NObeyesdad_Normal_Weight
1,0.9060045420165359,0.9999999999999996,0.8553395348041546,yes,yes,1.0,0.6089680092188896,Frequently,0,1.0,no,0.6666666666666666,1.0,Sometimes,0,0,1,0,0,1,0,0,0,0,NObeyesdad_Obesity_Type_I
0,0.34733367007778826,0.6749999999999994,0.5313472867722779,yes,yes,0.5,0.6089680092188896,Frequently,0,0.5,yes,0.6666666666666666,0.5,Sometimes,0,0,1,0,0,0,0,0,0,1,NObeyesdad_Overweight_Level_II
1,0.4590678444655376,0.49999999999999956,0.22031472866167623,no,no,1.0,0.6089680092188896,Sometimes,0,1.0,no,0.6666666666666666,0.0,Sometimes,0,0,1,0,1,0,0,0,0,0,NObeyesdad_Normal_Weight
1,1.0,0.8749999999999996,0.777581395276504,no,yes,0.5,0.6089680092188896,Sometimes,0,0.5,no,0.6666666666666666,0.5,Frequently,0,0,0,0,0,1,0,0,0,0,NObeyesdad_Obesity_Type_I
1,0.570802018853287,0.7999999999999994,0.27215348834677644,yes,yes,1.0,0.0,Sometimes,0,0.0,no,0.3333333333333333,0.5,Sometimes,0,0,1,0,1,0,0,0,0,0,NObeyesdad_Normal_Weight
0,0.4590678444655376,0.6249999999999996,0.34991162787442687,yes,no,1.0,0.6089680092188896,Always,0,0.5,yes,0.6666666666666666,0.5,Sometimes,0,0,1,0,1,0,0,0,0,0,NObeyesdad_Normal_Weight
1,1.0,0.9999999999999996,0.8164604650403293,yes,yes,0.5,0.0,Sometimes,0,0.0,no,0.3333333333333333,0.0,Sometimes,0,0,1,0,0,0,0,0,0,1,NObeyesdad_Overweight_Level_II
0,1.0,0.20000000000000018,0.5054279069297276,no,yes,0.5,0.0,Sometimes,0,0.5,no,0.0,0.0,no,0,0,0,0,0,1,0,0,0,0,NObeyesdad_Obesity_Type_I
0,1.0,0.6499999999999999,0.557266666614828,yes,yes,1.0,1.0,Frequently,1,0.0,no,0.0,0.0,no,0,0,0,0,0,0,0,0,0,1,NObeyesdad_Overweight_Level_II
0,0.570802018853287,0.49999999999999956,0.4017503875595272,yes,no,0.5,0.0,Sometimes,0,0.5,no,0.0,0.0,Sometimes,0,0,1,0,0,0,0,0,1,0,NObeyesdad_Overweight_Level_I
1,0.4590678444655376,0.49999999999999956,0.5313472867722779,yes,no,0.5,0.6089680092188896,Sometimes,0,0.5,no,1.0,1.0,no,0,0,0,1,0,0,0,0,0,1,NObeyesdad_Overweight_Level_II
0,1.0,0.6000000000000001,0.6220651162212034,yes,yes,1.0,0.0,Sometimes,1,0.5,no,0.0,0.0,no,0,0,0,0,0,1,0,0,0,0,NObeyesdad_Obesity_Type_I
0,0.4590678444655376,0.49999999999999956,0.27215348834677644,yes,yes,1.0,0.6089680092188896,Sometimes,0,0.5,no,0.3333333333333333,0.0,Sometimes,0,0,0,0,1,0,0,0,0,0,NObeyesdad_Normal_Weight
0,0.4590678444655376,0.375,0.557266666614828,yes,yes,0.0,0.0,Sometimes,0,0.5,no,0.0,1.0,Sometimes,0,0,1,0,0,1,0,0,0,0,NObeyesdad_Obesity_Type_I
1,0.34733367007778826,0.9999999999999996,0.3758310077169771,yes,yes,0.5,0.6089680092188896,Sometimes,0,0.5,no,0.0,0.5,Sometimes,0,0,1,0,1,0,0,0,0,0,NObeyesdad_Normal_Weight
1,0.23559949569003846,0.375,0.1425565891340258,yes,no,0.5,1.0,Frequently,1,0.5,no,1.0,1.0,no,0,0,1,0,1,0,0,0,0,0,NObeyesdad_Normal_Weight
1,0.34733367007778826,0.6249999999999996,0.3369519379531518,yes,yes,0.5,0.0,Frequently,0,0.5,no,0.3333333333333333,1.0,Always,0,0,0,1,1,0,0,0,0,0,NObeyesdad_Normal_Weight
0,0.570802018853287,0.375,0.1684759689765759,no,yes,0.5,1.0,Frequently,0,0.5,no,0.6666666666666666,0.5,Sometimes,0,0,0,0,1,0,0,0,0,0,NObeyesdad_Normal_Weight
1,0.12386532130228911,0.7499999999999996,0.4795085270871776,yes,yes,1.0,0.6089680092188896,Sometimes,0,0.5,yes,1.0,0.5,Sometimes,0,0,1,0,1,0,0,0,0,0,NObeyesdad_Normal_Weight
1,0.570802018853287,0.5749999999999997,0.4017503875595272,no,yes,0.5,0.6089680092188896,Sometimes,0,0.5,no,0.6666666666666666,1.0,Frequently,0,0,0,1,1,0,0,0,0,0,NObeyesdad_Normal_Weight
1,1.0,0.7999999999999994,0.570226356536103,no,yes,0.0,1.0,Frequently,0,1.0,no,0.0,0.5,no,0,1,0,0,0,0,0,0,1,0,NObeyesdad_Overweight_Level_I
0,1.0,0.3250000000000002,0.3758310077169771,yes,no,0.5,0.0,Sometimes,0,0.0,no,0.3333333333333333,0.0,Sometimes,0,0,1,0,0,0,0,0,0,1,NObeyesdad_Overweight_Level_II
0,0.6825361932410368,0.7999999999999994,0.4795085270871776,no,no,0.5,0.6089680092188896,Sometimes,0,1.0,no,0.3333333333333333,0.5,Sometimes,0,0,0,1,1,0,0,0,0,0,NObeyesdad_Normal_Weight
1,1.0,0.8500000000000001,0.6609441859850285,no,no,0.5,0.0,Sometimes,0,0.5,no,0.0,0.0,Sometimes,0,0,1,0,0,0,0,0,0,1,NObeyesdad_Overweight_Level_II
1,0.4590678444655376,0.49999999999999956,0.29807286818932666,no,yes,0.5,1.0,Frequently,0,0.5,no,0.6666666666666666,0.0,Sometimes,0,0,1,0,1,0,0,0,0,0,NObeyesdad_Normal_Weight
0,0.34733367007778826,0.125,0.3369519379531518,yes,no,0.5,0.6089680092188896,Sometimes,0,0.5,no,0.6666666666666666,1.0,Sometimes,0,0,1,0,0,0,0,0,0,1,NObeyesdad_Overweight_Level_II
0,0.4590678444655376,0.2749999999999999,0.12959689921275075,no,yes,0.5,0.6089680092188896,Sometimes,0,0.0,yes,0.6666666666666666,0.0,no,0,0,0,1,1,0,0,0,0,0,NObeyesdad_Normal_Weight
0,0.34733367007778826,0.375,0.1166372092914757,no,yes,0.5,0.6089680092188896,Sometimes,0,0.0,no,0.3333333333333333,0.0,Sometimes,0,0,1,0,1,0,0,0,0,0,NObeyesdad_Normal_Weight
1,0.570802018853287,0.49999999999999956,0.3628713177957019,yes,yes,0.5,0.6089680092188896,Sometimes,0,0.5,no,0.3333333333333333,0.5,Sometimes,0,0,1,0,1,0,0,0,0,0,NObeyesdad_Normal_Weight
0,0.34733367007778826,0.7499999999999996,0.6350248061424784,yes,yes,0.5,0.6089680092188896,Sometimes,0,1.0,no,1.0,0.0,Sometimes,0,0,1,0,0,0,0,0,0,1,NObeyesdad_Overweight_Level_II
0,0.34733367007778826,0.5499999999999994,0.46654883716590256,yes,yes,0.5,0.6089680092188896,Sometimes,0,0.5,no,0.3333333333333333,0.0,Sometimes,0,0,1,0,0,0,0,0,1,0,NObeyesdad_Overweight_Level_I
1,0.570802018853287,0.5749999999999997,0.27215348834677644,no,no,0.5,1.0,Frequently,0,0.5,no,0.0,0.0,no,0,0,0,1,1,0,0,0,0,0,NObeyesdad_Normal_Weight
0,0.34733367007778826,0.5249999999999999,0.32399224803187676,yes,yes,0.0,0.6089680092188896,Sometimes,0,0.0,no,0.0,0.0,no,0,0,1,0,1,0,0,0,0,0,NObeyesdad_Normal_Weight
1,0.34733367007778826,0.5249999999999999,0.29807286818932666,yes,yes,0.5,0.6089680092188896,Sometimes,1,0.5,no,0.3333333333333333,0.5,Frequently,0,0,1,0,1,0,0,0,0,0,NObeyesdad_Normal_Weight
1,0.34733367007778826,0.8999999999999999,0.5313472867722779,no,no,0.0,0.6089680092188896,no,0,0.5,no,0.6666666666666666,0.0,no,0,0,1,0,1,0,0,0,0,0,NObeyesdad_Normal_Weight
0,0.34733367007778826,0.20000000000000018,0.3369519379531518,yes,no,0.5,0.6089680092188896,Sometimes,0,0.0,no,0.0,0.5,no,0,0,1,0,0,0,0,0,0,1,NObeyesdad_Overweight_Level_II
1,0.34733367007778826,0.9250000000000003,0.4276697674020773,yes,yes,0.0,0.6089680092188896,Frequently,0,1.0,no,0.6666666666666666,0.0,Sometimes,0,0,1,0,1,0,0,0,0,0,NObeyesdad_Normal_Weight
1,0.34733367007778826,0.7499999999999996,0.4276697674020773,yes,yes,0.0,0.6089680092188896,Frequently,0,1.0,no,0.6666666666666666,0.0,Sometimes,0,0,1,0,1,0,0,0,0,0,NObeyesdad_Normal_Weight
0,0.23559949569003846,0.5249999999999999,0.27215348834677644,yes,no,1.0,0.6089680092188896,Sometimes,0,0.5,no,0.3333333333333333,0.0,Sometimes,0,0,0,1,1,0,0,0,0,0,NObeyesdad_Normal_Weight
0,0.34733367007778826,0.25,0.1425565891340258,no,yes,0.5,0.6089680092188896,Sometimes,0,0.5,no,0.0,0.0,Sometimes,0,0,1,0,1,0,0,0,0,0,NObeyesdad_Normal_Weight
0,0.34733367007778826,0.3999999999999999,0.2008751937797636,yes,yes,1.0,0.6089680092188896,Sometimes,0,1.0,no,0.0,0.5,Sometimes,0,0,0,1,1,0,0,0,0,0,NObeyesdad_Normal_Weight
0,0.23559949569003846,0.125,0.06479844960637537,no,yes,0.5,0.6089680092188896,Sometimes,0,0.0,no,0.0,0.0,Sometimes,0,0,0,0,1,0,0,0,0,0,NObeyesdad_Normal_Weight
0,0.570802018853287,0.4749999999999992,0.1684759689765759,no,yes,1.0,0.0,Sometimes,0,0.5,no,0.6666666666666666,1.0,no,0,0,1,0,1,0,0,0,0,0,NObeyesdad_Normal_Weight
0,0.570802018853287,0.44999999999999973,0.20735503874040118,yes,no,1.0,0.6089680092188896,no,0,0.5,yes,0.6666666666666666,0.5,no,0,0,1,0,1,0,0,0,0,0,NObeyesdad_Normal_Weight
0,0.4590678444655376,0.375,0.20735503874040118,no,no,1.0,1.0,Always,0,1.0,no,0.6666666666666666,0.0,no,0,0,1,0,1,0,0,0,0,0,NObeyesdad_Normal_Weight
1,0.570802018853287,0.5749999999999997,0.29807286818932666,no,no,0.5,1.0,Frequently,0,0.5,no,0.0,0.0,Sometimes,0,0,0,0,1,0,0,0,0,0,NObeyesdad_Normal_Weight
1,0.4590678444655376,0.6249999999999996,0.4017503875595272,yes,yes,0.5,0.6089680092188896,Sometimes,0,0.0,no,0.0,0.5,Sometimes,0,0,0,0,1,0,0,0,0,0,NObeyesdad_Normal_Weight
1,0.34733367007778826,0.4749999999999992,0.3369519379531518,yes,no,0.5,0.6089680092188896,Sometimes,0,0.0,no,0.0,0.5,no,0,0,1,0,1,0,0,0,0,0,NObeyesdad_Normal_Weight
0,0.0,0.49999999999999956,0.3628713177957019,yes,yes,1.0,0.0,Sometimes,0,0.5,no,0.3333333333333333,0.5,no,0,0,0,1,1,0,0,0,0,0,NObeyesdad_Normal_Weight
1,0.23559949569003846,0.7749999999999999,0.20735503874040118,yes,yes,0.5,1.0,Sometimes,0,1.0,no,0.6666666666666666,1.0,no,0,0,1,0,0,0,0,0,0,0,NObeyesdad_Normal_Weight
0,0.34733367007778826,0.25,0.12959689921275075,yes,yes,0.5,0.6089680092188896,Sometimes,0,1.0,no,1.0,0.5,Sometimes,0,0,1,0,1,0,0,0,0,0,NObeyesdad_Normal_Weight
